Round_Centre_Code	FSU_Serial_No	Round	Sch_No	Sample	Sector	State_Region	District	Stratum	Sub_Stratum_No	Filler_1	Sub_Round	Sub_Sample	FOD_Sub_Region	Hamlet_Group_Sub_Block_No	Second_Stage_Stratum_No	Sample_Hhld_No	Level	Filler_2	Item_Group_Srl_No	Value_of_Consumption_Last_30_Day	Value_Consumption_Last_365_Days	Spl_characters_for_OK_stamp	Blank	NSS	NSC	MLT	NSS_SR	NSC_SR	MLT_SR	State	District_Code	HHID	Multiplier_comb
18	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	Edible oil and vanaspati	88	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
19	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Vegetables (including garlic, ginger)"	390	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
20	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Fruits & nuts (includes mango, banana, coconut, dates, kishm"	110	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
21	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Egg, fish & meat"	870	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
22	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Sugar (includes gur, candy (misri), honey, etc.)"	79	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
23	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Salt & spices (includes dry chillies, curry powder, oilseeds"	69	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
24	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Other food items (includes beverages such as tea, coffee, fr"	230	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
25	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Pan, tobacco & intoxicants"	578	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
26	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	Fuel & light	299	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
27	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Personal care and effects (includes spectacles, torch, umbre"	100	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
28	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Toilet articles (includes toothpaste, hair oil, shaving blad"	159	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
29	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Sundry articles (includes electric bulb, tubelight,  glasswa"	285	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
30	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	Consumer services excluding conveyance (includes domestic se	110	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
31	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Conveyance (includes porter charges, diesel, petrol, school"	60	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
32	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	 Sub-total (items 1 to 22)	4014	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
33	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	Clothing and bedding	 	2180	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
34	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	Footwear	 	320	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
35	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Furniture and fixtures (includes bedstead, almirah, suitcase"	 	600	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
36	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Crockery & utensils (includes stainless steel utensils, cass"	 	440	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
37	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Personal transport equipment (includes bicycle, scooter, car"	 	80	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
38	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	"Repair and maintenance (of residential buildings, bathroom e"	 	2020	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
39	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	Sub-total (items 24  to 37)	 	5640	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
40	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	Average monthly expenditure for items 24 to 37  [item 38 x (	464	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
41	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	2	9	0	Monthly household consumer expenditure (item 23 +  item 39)	4478	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Davanegere	715581202	324.08
13	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Cereals & cereal products (includes  muri, chira, maida, suj"	394	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
14	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Pulses & pulse products (includes soyabean, gram products, b"	60	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
15	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	Milk	50	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
16	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Milk products (includes milk condensed/powder, baby food, gh"	15	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
17	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	Edible oil and vanaspati	90	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
18	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Vegetables (including garlic, ginger)"	290	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
19	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Fruits & nuts (includes mango, banana, coconut, dates, kishm"	62	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
20	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Egg, fish & meat"	625	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
21	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Sugar (includes gur, candy (misri), honey, etc.)"	103	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
22	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Salt & spices (includes dry chillies, curry powder, oilseeds"	84	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
23	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Other food items (includes beverages such as tea, coffee, fr"	309	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
24	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Pan, tobacco & intoxicants"	605	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
25	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	Fuel & light	270	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
26	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Personal care and effects (includes spectacles, torch, umbre"	175	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
27	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Toilet articles (includes toothpaste, hair oil, shaving blad"	120	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
28	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Sundry articles (includes electric bulb, tubelight,  glasswa"	80	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
29	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	Consumer services excluding conveyance (includes domestic se	110	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
30	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Conveyance (includes porter charges, diesel, petrol, school"	150	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
31	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	Medical expenses (non-institutional)	60	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
32	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	 Sub-total (items 1 to 22)	3652	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
33	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	Clothing and bedding	 	1340	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
34	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	Footwear	 	560	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
35	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Crockery & utensils (includes stainless steel utensils, cass"	 	160	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
36	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Goods for recreation (includes TV, radio, tape recorder, mus"	 	150	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
37	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Personal transport equipment (includes bicycle, scooter, car"	 	80	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
38	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	"Repair and maintenance (of residential buildings, bathroom e"	 	1600	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
39	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	Sub-total (items 24  to 37)	 	3890	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
40	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	Average monthly expenditure for items 24 to 37  [item 38 x (	320	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
41	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	3	9	0	Monthly household consumer expenditure (item 23 +  item 39)	3972	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581203	324.08
8	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Cereals & cereal products (includes  muri, chira, maida, suj"	170	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
9	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Pulses & pulse products (includes soyabean, gram products, b"	45	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
10	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	Milk	240	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
11	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	Edible oil and vanaspati	45	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
12	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Vegetables (including garlic, ginger)"	288	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
13	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Fruits & nuts (includes mango, banana, coconut, dates, kishm"	55	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
14	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Egg, fish & meat"	640	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
15	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Sugar (includes gur, candy (misri), honey, etc.)"	52	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
16	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Salt & spices (includes dry chillies, curry powder, oilseeds"	72	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
17	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Other food items (includes beverages such as tea, coffee, fr"	180	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
18	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Pan, tobacco & intoxicants"	629	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
19	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	Fuel & light	226	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
20	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Personal care and effects (includes spectacles, torch, umbre"	80	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
21	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Toilet articles (includes toothpaste, hair oil, shaving blad"	138	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
22	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Sundry articles (includes electric bulb, tubelight,  glasswa"	143	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
23	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	Consumer services excluding conveyance (includes domestic se	90	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
24	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Conveyance (includes porter charges, diesel, petrol, school"	80	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
25	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	Medical expenses (non-institutional)	20	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
26	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	 Sub-total (items 1 to 22)	3193	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
27	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	Clothing and bedding	 	1445	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
28	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	Footwear	 	750	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
29	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Furniture and fixtures (includes bedstead, almirah, suitcase"	 	550	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
30	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Crockery & utensils (includes stainless steel utensils, cass"	 	210	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
31	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Cooking and household appliances (includes electric fan, air"	 	160	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
32	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Personal transport equipment (includes bicycle, scooter, car"	 	290	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
33	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	"Repair and maintenance (of residential buildings, bathroom e"	 	1030	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
34	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	Sub-total (items 24  to 37)	 	4435	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
35	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	Average monthly expenditure for items 24 to 37  [item 38 x (	365	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
36	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	2	4	9	0	Monthly household consumer expenditure (item 23 +  item 39)	3558	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581204	324.08
43	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	9	0	"Cereals & cereal products (includes  muri, chira, maida, suj"	1534	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
44	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	9	0	"Pulses & pulse products (includes soyabean, gram products, b"	160	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
45	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	9	0	Milk	100	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
46	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	9	0	"Milk products (includes milk condensed/powder, baby food, gh"	30	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
47	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	9	0	Edible oil and vanaspati	255	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
48	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	9	0	"Vegetables (including garlic, ginger)"	650	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
49	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	9	0	"Fruits & nuts (includes mango, banana, coconut, dates, kishm"	95	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
