Round_Centre_Code	FSU_Serial_No	Round	Sch_No	Sample	Sector	State_Region	District	Stratum	Sub_Stratum_No	Filler_1	Sub_Round	Sub_Sample	FOD_Sub_Region	Hamlet_Group_Sub_Block_No	Second_Stage_Stratum_No	Sample_Hhld_No	Level	Filler_2	Person_Serial_No	Relation_to_Head	Sex	Age	Marital_Status	General_Education	Technical_Education	Status_of_Current_Attendance	Type_of_Educationa_Institution	Registered_with_Emp_Exchange	Vocational_Training	Field_of_Training	MGNREG_jobcard	MGNREG_work	Spl_characters_for_OK_stamp	Blank	NSS	NSC	MLT	NSS_SR	NSC_SR	MLT_SR	State	District_Code	HHID	Multiplier_comb
2	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	3	0	1	Self	Male	50	Currently married	Literate:  middle	No technical education	 	 	 	Did not receive any vocational training	 	No	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
3	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	3	0	2	Spouse of head	Female	48	Currently married	Literate:  primary	No technical education	 	 	 	Did not receive any vocational training	 	No	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
4	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	3	0	3	Married child	Male	30	Currently married	Literate:  middle	No technical education	 	 	not registered	Did not receive any vocational training	 	Yes	Worked	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
5	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	3	0	4	Spouse of married child	Female	28	Currently married	Literate:  middle	No technical education	Ever attended but currently not attending: To attend domesti	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
6	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	3	0	5	Unmarried child	Male	25	Never married	Literate:  primary	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
7	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	3	0	6	Unmarried child	Male	22	Never married	Literate:  primary	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
8	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	3	0	7	Unmarried child	Male	19	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Government	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
9	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	3	0	8	Unmarried child	Male	16	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Government	not registered	Did not receive any vocational training	 	 	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
10	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	3	0	9	Unmarried child	Female	14	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Government	 	 	 	 	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
11	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	1	3	0	10	Unmarried child	Female	12	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Government	 	 	 	 	 	 	 	2	4	64816	1	1	129632	KARNATAKA	Bangalore	715581301	324.08
2	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	2	3	0	1	Self	Female	30	Widowed	Literate:  primary	No technical education	 	 	not registered	Did not receive any vocational training	 	Yes	Worked	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581302	324.08
3	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	2	3	0	2	Unmarried child	Female	15	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Government	not registered	Did not receive any vocational training	 	 	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581302	324.08
4	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	2	3	0	3	Unmarried child	Female	12	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Government	 	 	 	 	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581302	324.08
2	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	3	3	0	1	Self	Male	37	Currently married	Literate:  primary	No technical education	 	 	not registered	Did not receive any vocational training	 	Yes	sought but not get work	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581303	324.08
3	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	3	3	0	2	Spouse of head	Female	36	Currently married	Literate:  primary	No technical education	 	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581303	324.08
4	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	3	3	0	3	Unmarried child	Male	14	Never married	Literate:  middle	No technical education	Currently attending in: Secondary	Government	 	 	 	 	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581303	324.08
5	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	3	3	0	4	Unmarried child	Male	12	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Government	 	 	 	 	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581303	324.08
6	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	3	3	0	5	Unmarried child	Female	10	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Government	 	 	 	 	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581303	324.08
7	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	3	3	0	6	Servants/ employees/ other non-relatives	Female	28	Never married	Not literate	No technical education	Currently not attending:  Never attended: To supplement hous	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581303	324.08
2	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	4	3	0	1	Self	Male	34	Currently married	Literate:  middle	No technical education	 	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581304	324.08
3	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	4	3	0	2	Spouse of head	Female	32	Currently married	Literate:  primary	No technical education	 	 	not registered	Did not receive any vocational training	 	Yes	Worked	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581304	324.08
4	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	4	3	0	3	Unmarried child	Male	14	Never married	Literate:  middle	No technical education	Currently attending in: Secondary	Government	 	 	 	 	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581304	324.08
5	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	4	3	0	4	Unmarried child	Male	12	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Government	 	 	 	 	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581304	324.08
6	71558	68	100	Central	Rural	171	1	1	1	0	1	1	1711	1	3	4	3	0	5	Unmarried child	Female	10	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Government	 	 	 	 	 	 	 	2	4	64816	1	1	129632	MEGHALAYA	West Garo Hills	715581304	324.08
2	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	1	1	3	0	1	Self	Male	55	Currently married	Literate:  middle	No technical education	 	 	 	Did not receive any vocational training	 	 	 	 	 	2	4	37791	1	1	75582	MEGHALAYA	West Garo Hills	715391101	188.955
3	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	1	1	3	0	2	Spouse of head	Female	45	Currently married	Literate:  primary	No technical education	 	 	not registered	Did not receive any vocational training	 	 	 	 	 	2	4	37791	1	1	75582	MEGHALAYA	West Garo Hills	715391101	188.955
4	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	1	1	3	0	3	Unmarried child	Male	16	Never married	Literate:  middle	No technical education	Currently attending in: Secondary	Government	not registered	Did not receive any vocational training	 	 	 	 	 	2	4	37791	1	1	75582	MEGHALAYA	West Garo Hills	715391101	188.955
5	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	1	1	3	0	4	Unmarried child	Male	14	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Private and unaided	 	 	 	 	 	 	 	2	4	37791	1	1	75582	MEGHALAYA	West Garo Hills	715391101	188.955
6	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	1	1	3	0	5	Unmarried child	Female	19	Never married	Literate:  middle	No technical education	Currently attending in: Secondary	Government	not registered	Did not receive any vocational training	 	 	 	 	 	2	4	37791	1	1	75582	MEGHALAYA	West Garo Hills	715391101	188.955
2	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	1	2	3	0	1	Self	Male	47	Currently married	Literate:  higher secondary	No technical education	 	 	 	Did not receive any vocational training	 	No	 	 	 	2	4	37791	1	1	75582	MEGHALAYA	West Garo Hills	715391102	188.955
3	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	1	2	3	0	2	Spouse of head	Female	46	Currently married	Literate without formal schooling:  EGS/ NFEC/ AEC	No technical education	 	 	 	Did not receive any vocational training	 	Yes	Worked	 	 	2	4	37791	1	1	75582	MEGHALAYA	West Garo Hills	715391102	188.955
4	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	1	2	3	0	3	Unmarried child	Male	14	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Local body	 	 	 	 	 	 	 	2	4	37791	1	1	75582	MEGHALAYA	West Garo Hills	715391102	188.955
5	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	1	2	3	0	4	Unmarried child	Female	24	Never married	Literate:  secondary	No technical education	Currently attending in: Higher secondary	Local body	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	37791	1	1	75582	MEGHALAYA	West Garo Hills	715391102	188.955
6	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	1	2	3	0	5	Unmarried child	Female	20	Never married	Literate:  middle	No technical education	Currently attending in: Secondary	Local body	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	37791	1	1	75582	MEGHALAYA	West Garo Hills	715391102	188.955
2	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	1	3	0	1	Self	Male	62	Divorced/separated	Literate:  higher secondary	No technical education	 	 	 	 	 	 	 	 	 	2	4	34642	1	1	69284	MEGHALAYA	West Garo Hills	715391201	173.21
3	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	1	3	0	2	Unmarried child	Male	29	Never married	Literate:  higher secondary	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	 	 	 	 	2	4	34642	1	1	69284	MEGHALAYA	West Garo Hills	715391201	173.21
4	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	1	3	0	3	Unmarried child	Male	21	Never married	Literate:  secondary	No technical education	Currently attending in: Higher secondary	Government	not registered	Did not receive any vocational training	 	 	 	 	 	2	4	34642	1	1	69284	MEGHALAYA	West Garo Hills	715391201	173.21
5	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	1	3	0	4	Spouse of married child	Male	27	Currently married	Literate:  secondary	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	 	 	 	 	2	4	34642	1	1	69284	MEGHALAYA	West Garo Hills	715391201	173.21
6	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	1	3	0	5	Married child	Female	24	Currently married	Literate:  higher secondary	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	 	 	 	 	2	4	34642	1	1	69284	MEGHALAYA	West Garo Hills	715391201	173.21
2	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	2	3	0	1	Self	Male	45	Currently married	Literate:  primary	No technical education	 	 	not registered	Did not receive any vocational training	 	Yes	Worked	 	 	2	4	34642	1	1	69284	MEGHALAYA	West Garo Hills	715391202	173.21
3	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	2	3	0	2	Spouse of head	Female	42	Currently married	Literate:  primary	No technical education	 	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	34642	1	1	69284	MEGHALAYA	West Garo Hills	715391202	173.21
4	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	2	3	0	3	Unmarried child	Female	17	Never married	Literate:  middle	No technical education	Currently attending in: Secondary	Private and unaided	not registered	Did not receive any vocational training	 	 	 	 	 	2	4	34642	1	1	69284	MEGHALAYA	West Garo Hills	715391202	173.21
5	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	2	3	0	4	Unmarried child	Female	15	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Government	not registered	Did not receive any vocational training	 	 	 	 	 	2	4	34642	1	1	69284	MEGHALAYA	West Garo Hills	715391202	173.21
2	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	3	3	0	1	Self	Male	44	Currently married	Literate:  secondary	No technical education	 	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391203	173.21
3	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	3	3	0	2	Spouse of head	Female	40	Currently married	Literate:  primary	No technical education	 	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391203	173.21
4	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	3	3	0	3	Unmarried child	Male	20	Never married	Literate:  below primary	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	Yes	Worked	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391203	173.21
5	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	3	3	0	4	Unmarried child	Male	10	Never married	Literate:  below primary	No technical education	Currently attending in: Primary (class I to IV/ V)	Government	 	 	 	 	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391203	173.21
6	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	3	3	0	5	Unmarried child	Male	8	Never married	Literate:  below primary	No technical education	Currently attending in: Primary (class I to IV/ V)	Government	 	 	 	 	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391203	173.21
7	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	3	3	0	6	Unmarried child	Male	6	Never married	Literate:  below primary	No technical education	Currently attending in: Primary (class I to IV/ V)	Government	 	 	 	 	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391203	173.21
8	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	3	3	0	7	Unmarried child	Male	4	Never married	Not literate	No technical education	Currently not attending:  Never attended: Others	 	 	 	 	 	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391203	173.21
9	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	3	3	0	8	Unmarried child	Female	10	Never married	Literate:  below primary	No technical education	Currently attending in: Primary (class I to IV/ V)	Government	 	 	 	 	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391203	173.21
10	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	3	3	0	9	Unmarried child	Female	2	Never married	Not literate	No technical education	Currently not attending:  Never attended: Others	 	 	 	 	 	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391203	173.21
2	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	4	3	0	1	Self	Male	56	Currently married	Literate:  higher secondary	No technical education	 	 	 	Did not receive any vocational training	 	No	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391204	173.21
3	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	4	3	0	2	Spouse of head	Female	53	Currently married	Literate:  secondary	No technical education	 	 	 	Did not receive any vocational training	 	No	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391204	173.21
4	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	4	3	0	3	Unmarried child	Male	27	Never married	Literate:  secondary	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391204	173.21
5	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	4	3	0	4	Unmarried child	Female	26	Never married	Literate:  secondary	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391204	173.21
6	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	4	3	0	5	Unmarried child	Female	24	Never married	Literate:  higher secondary	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391204	173.21
7	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	4	3	0	6	Unmarried child	Female	23	Never married	Literate:  secondary	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391204	173.21
8	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	4	3	0	7	Married child	Female	21	Currently married	Literate:  secondary	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391204	173.21
9	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	4	3	0	8	Spouse of married child	Male	26	Currently married	Literate:  middle	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	Yes	Worked	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391204	173.21
10	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	4	3	0	9	Grandchild	Male	0	Never married	Not literate	No technical education	Currently not attending:  Never attended: Others	 	 	 	 	 	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391204	173.21
11	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	4	3	0	10	Grandchild	Female	3	Never married	Not literate	No technical education	Currently not attending:  Never attended: Others	 	 	 	 	 	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391204	173.21
12	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	2	4	3	0	11	Unmarried child	Female	12	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Government	 	 	 	 	 	 	 	2	4	34642	1	1	69284	MAHARASHTRA	Pune	715391204	173.21
2	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	1	3	0	1	Self	Male	59	Currently married	Literate without formal schooling:  EGS/ NFEC/ AEC	No technical education	 	 	 	Did not receive any vocational training	 	Yes	Worked	 	 	2	4	188956	1	1	377911	MAHARASHTRA	Amravati	715391301	944.78
3	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	1	3	0	2	Spouse of head	Female	58	Currently married	Not literate	No technical education	 	 	 	Did not receive any vocational training	 	No	 	 	 	2	4	188956	1	1	377911	MAHARASHTRA	Amravati	715391301	944.78
4	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	1	3	0	3	Unmarried child	Male	26	Never married	Literate:  primary	No technical education	Ever attended but currently not attending: To attend domesti	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	188956	1	1	377911	MAHARASHTRA	Amravati	715391301	944.78
5	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	1	3	0	4	Unmarried child	Male	6	Never married	Literate:  below primary	No technical education	"Currently attending in: Pre-primary (nursery/ Kinder garten,"	Government	 	 	 	 	 	 	 	2	4	188956	1	1	377911	MAHARASHTRA	Amravati	715391301	944.78
6	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	1	3	0	5	Unmarried child	Female	21	Never married	Literate:  middle	No technical education	Currently attending in: Secondary	Private and unaided	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	188956	1	1	377911	MAHARASHTRA	Amravati	715391301	944.78
7	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	1	3	0	6	Unmarried child	Female	20	Never married	Literate:  middle	No technical education	Currently attending in: Secondary	Private and unaided	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	188956	1	1	377911	MAHARASHTRA	Amravati	715391301	944.78
8	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	1	3	0	7	Unmarried child	Female	4	Never married	Not literate	No technical education	Currently not attending:  Never attended: Others	 	 	 	 	 	 	 	 	2	4	188956	1	1	377911	MAHARASHTRA	Amravati	715391301	944.78
2	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	2	3	0	1	Self	Male	76	Widowed	Literate:  below primary	No technical education	 	 	 	 	 	No	 	 	 	2	4	188956	1	1	377911	MEGHALAYA	West Garo Hills	715391302	944.78
3	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	2	3	0	2	Married child	Male	57	Currently married	Literate:  primary	No technical education	 	 	 	Did not receive any vocational training	 	Yes	Worked	 	 	2	4	188956	1	1	377911	MEGHALAYA	West Garo Hills	715391302	944.78
4	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	2	3	0	3	Spouse of married child	Female	54	Currently married	Literate:  primary	No technical education	 	 	 	Did not receive any vocational training	 	No	 	 	 	2	4	188956	1	1	377911	MEGHALAYA	West Garo Hills	715391302	944.78
5	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	2	3	0	4	Grandchild	Male	16	Never married	Literate:  middle	No technical education	Currently attending in: Secondary	Government	not registered	Did not receive any vocational training	 	 	 	 	 	2	4	188956	1	1	377911	MEGHALAYA	West Garo Hills	715391302	944.78
6	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	2	3	0	5	Grandchild	Male	14	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Private and aided	 	 	 	 	 	 	 	2	4	188956	1	1	377911	MEGHALAYA	West Garo Hills	715391302	944.78
7	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	2	3	0	6	Grandchild	Male	12	Never married	Literate:  primary	No technical education	Currently attending in: Middle	Private and aided	 	 	 	 	 	 	 	2	4	188956	1	1	377911	MEGHALAYA	West Garo Hills	715391302	944.78
8	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	2	3	0	7	Grandchild	Male	8	Never married	Literate:  below primary	No technical education	Currently attending in: Primary (class I to IV/ V)	Local body	 	 	 	 	 	 	 	2	4	188956	1	1	377911	MEGHALAYA	West Garo Hills	715391302	944.78
9	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	2	3	0	8	Unmarried child	Male	43	Never married	Literate:  primary	No technical education	 	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	188956	1	1	377911	MEGHALAYA	West Garo Hills	715391302	944.78
10	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	2	3	0	9	Unmarried child	Male	35	Never married	Literate:  primary	No technical education	 	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	188956	1	1	377911	MEGHALAYA	West Garo Hills	715391302	944.78
11	71539	68	100	Central	Rural	171	1	1	2	0	1	2	1711	1	3	2	3	0	10	Unmarried child	Female	25	Never married	Literate:  middle	No technical education	Ever attended but currently not attending: To supplement hou	 	not registered	Did not receive any vocational training	 	No	 	 	 	2	4	188956	1	1	377911	MEGHALAYA	West Garo Hills	715391302	944.78
